Company Name,Key ID,Address Line 1,City,Phone,URL,Revenue (As Reported),Employees,Match Status,CRM Company Name,CRM Group ID,CRM Company ID
International Metal and Construction Co.,96352919,PO Box 25156,Abu Dhabi,971-2 5553975,http://www.imcc.ae,794700010.0,600.0,,,,
Al Jaber Precision Engineering Establishment,124579463,,Abu Dhabi,971-25020602,http://www.ajeprecision.com,,600.0,,,,
Reach Contracting & General Maintenance,122044224,Po Box 54867,Abu Dhabi,26765722,,,600.0,,,,
Zener Electrical & Electronics Services L.L.C.,121851736,Po Box 3905,Abu Dhabi,25585285,,,600.0,,,,
Bam International Abu Dhabi - Llc,123158206,Po Box 47100,Abu Dhabi,26444100,,,600.0,,,,
United Printing & Publishing,133363578,Po Box 39955,Abu Dhabi,25039999,,,595.0,,,,
Petrofac-Gs Joint Venture,122940144,Po Box 9398,Abu Dhabi,28104289,,,580.0,,,,
Gulf Marine Services PLC,111192644,Mussafah Base,Abu Dhabi,971-2-5028888,http://www.gmsuae.com/,196554000.0,573.0,,,,
Abu Dhabi Pipe Factory - L L C,123730648,Po Box 4526,Abu Dhabi,25821600,,,550.0,,,,
Astraco Construction - L L C,121881517,Po Box 46370,Abu Dhabi,26343433,,,550.0,,,,
Central Bank of The United Arab Emirates,42385828,P.O.Box 854,Abu Dhabi,971-2-6652220,http://www.centralbank.ae,2735000000.0,530.0,,,,
Arkan Building Materials Company PJSC,95896176,PO Box 40307,Abu Dhabi,971-2-6666724,http://www.arkan.ae/,751797000.0,527.0,,,,
Al Reyami Steel Industries,123109593,Po Box 45873,Abu Dhabi,25512588,,,525.0,,,,
National Media Council,120029874,P.O. Box 3790,Abu Dhabi,24044333,http://www.abudhabi.ae,,501.0,,,,
Thomas Cook Al Rostamani Company L L C,121882691,Po Box 261,Abu Dhabi,26727500,,,500.0,,,,
Euro Mechanical & Electrical Contractors Ltd.,42385876,PO Box 46153,Abu Dhabi,971-26781133,http://www.euromechanical.com,,500.0,,,,
Abu Dhabi National Foodstuff Company - W L L,123114707,Po Box 2378,Abu Dhabi,26731000,,,500.0,,,,
Al Otaiba and Garg Contracting Company Ltd.,48609190,PO Box 43089,Abu Dhabi,971-02 6274936,,274600010.0,500.0,,,,
Engineering Maintenance Company-Emco,133363591,Po Box 3532,Abu Dhabi,26340445,,,500.0,,,,
Voltas Ltd,122882504,Po Box 25513,Abu Dhabi,24457882,,,500.0,,,,
Maf Hypermarkets Llc - Abu Dhabi Branch,122044202,Po Box 4933,Abu Dhabi,26817100,,,500.0,,,,
Al Mariah United Co.,42385971,"PO Box 206, Hamdan St.",Abu Dhabi,971-02 6771741,http://www.almariah.com,144000000.0,500.0,,,,
Compass Camea Fze,122044427,P O Box 46806,Abu Dhabi,24494769,,,500.0,,,,
Future Pipes Industrial Company - W L L,122781994,Po Box 29205,Abu Dhabi,26270008,,,500.0,,,,
Control Contracting & Trading Company Pvt Ltd,122882371,Po Box 46089,Abu Dhabi,25548000,,45262299.0,500.0,,,,
Abu Dhabi Oilfield Services Establishment,42385741,PO Box 4015,Abu Dhabi,971-2 6344441,http://www.adosuae.com,1783000000.0,500.0,,,,
Industrial Development Company Llc (Al Tanmiya Industrial C,122895540,Po Box 37388,Abu Dhabi,25500785,,,500.0,,,,
International Turnkey Systems L.L.C. - Dubai,42386977,PO Box 7087,Abu Dhabi,971-04 3972220,http://www.its.ws,236899990.0,500.0,,,,
Arabian Castles General Contracting & Maintenance Establishment,123229939,Po Box 3930,Abu Dhabi,26214678,,,500.0,,,,
Supervision Committee For Expansion Of The Abu Dhabi International Airport,121851670,Po Box 38811,Abu Dhabi,25095000,,,500.0,,,,
Al Tafseer Contracting & General Maintenance Company - W L L,122895550,Po Box 47804,Abu Dhabi,26419805,,,500.0,,,,
Schlumberger Middle East S.A.,96352922,PO Box 21,Abu Dhabi,971-02 6333600,http://www.slb.com,1327100000.0,500.0,,,,
Dorsch Consult Abu Dhabi,125631532,Salam Street,Abu Dhabi,971-26721923,http://www.dorsch.com,,500.0,,,,
Al Masaood Oil Industry Supplies & Services Co.,42385979,,Abu Dhabi,971-26267666,http://www.almasaoodoiss.com,,500.0,,,,
Mabani,42386050,PO Box 692,Abu Dhabi,971-02 6775949,http://www.mabani.org,277899990.0,500.0,,,,
Emirates Motor Co.,92028287,,Abu Dhabi,971-2-444-000,http://www.emc.mercedes-benz.com,1164400000.0,500.0,,,,
Target Engineering Construction Company - L L C,123730290,National Bank Of Umm Al Quwain Building Hamdan Road,Abu Dhabi,26714700,http://www.target.ae,,500.0,,,,
Al Madina Group Of Establishments,123167911,Po Box 4148,Abu Dhabi,26795999,,,500.0,,,,
Al Ain Dairy,48584155,Al Ain Dairy Farm Building,Abu Dhabi,971-3-7832111,http://www.alaindairyuae.com/,1425200000.0,500.0,,,,
Future Pipes Industrial Company - W L L,122783147,Po Box 29205,Abu Dhabi,26270008,,,500.0,,,,
Injazat Data Systems,95677002,"Mohamed Bin Zayed City,  8230, Z-23",Abu Dhabi,971-2-6992700,http://www.injazat.com/,253800000.0,500.0,,,,
Al Bawardi Computer Est,123109133,Po Box 4118,Abu Dhabi,6346999,,,500.0,,,,
Orient Contracting Company WLL,42386035,PO Box 348,Abu Dhabi,971-02 6276761,http://www.adcecogroup.com,200399990.0,500.0,,,,
International Turnkey Systems L.L.C.,42385941,PO Box 7087,Abu Dhabi,971-02 6726111,http://www.its.ws,237200000.0,500.0,,,,
Neopharma LLC,92509504,Neopharma Building,Abu Dhabi,971-2-5501000,http://www.neopharma.ae/,,500.0,,,,
Al Jazira Sports And Cultural Club,123228873,Po Box 2750,Abu Dhabi,4454455,,,500.0,,,,
Support Services & Catering Company L.L.C,121840536,"Khalefa Hareb Al Khalili Building Um Al Nar ,Corniche Street",Abu Dhabi,25585274,,,450.0,,,,
Foresight Heavy Machinery Equipments Trading - L L C,122189654,Po Box 128288,Abu Dhabi,25508088,,,450.0,,,,
Hi Tech Concrete Products L.L.C.,122048038,Po Box 5151,Abu Dhabi,25501220,http://www.hitechad.ae,,450.0,,,,
Abu Dhabi Coating Enterprises L.L.C.,48609236,PO Box 2603,Abu Dhabi,971-02 5559136,http://www.imcc.ae,162600010.0,450.0,,,,
Intergulf General Contracting - L L C,122189620,Po Box 514,Abu Dhabi,26274180,,,440.0,,,,
Global Process Systems Llc,123230005,Po Box 107176,Abu Dhabi,25822233,,,440.0,,,,
Le Royal Meridien - Abu Dhabi,120029908,Po Box 45505,Abu Dhabi,26742020,http://www.leroyalmeridien-abudhabi.com,,435.0,,,,
Trans Gulf Ready Mix Concrete - L L C,122485705,Po Box 9009,Abu Dhabi,25511777,,,430.0,,,,
Time Electro & Contracting Company W L L,122048020,Po Box 70148,Abu Dhabi,26788621,,,430.0,,,,
Abu Dhabi J & P - L L C,123158214,Po Box 2536,Abu Dhabi,6221533,,,421.0,,,,
Gulf Specialized Mechanical and Engineering Services Company L.L.C.,48284254,PO Box 8865,Abu Dhabi,971-02 5552855,http://www.imcc.ae,233399990.0,420.0,,,,
Lulu Centre - L L C,122145304,Po Box 4048,Abu Dhabi,24182000,,,414.0,,,,
MDS UAE Holdings,42385990,PO Box 7899,Abu Dhabi,971 (2) 6276354,,864900020.0,400.0,,,,
Booz And Company - Middle East,92460889,Adcb Building 8Th Floor Office 801 Salam Street,Abu Dhabi,26992400,http://www.booz.com,,400.0,,,,
Emirates Float Glass LLC,121419842,,Abu Dhabi,971-25994000,http://www.dubaiinvestments.com,,400.0,,,,
Bin Hamoodah Trading and General Services,48609183,"14th Floor, Bin Hamoodah Tower, Sheikh Khalifa Street",Abu Dhabi,971-2 6276600,http://www.bht.ae,115200000.0,400.0,,,,
Crowne Plaza Hotel Yas Island,123284568,Po Box 41880,Abu Dhabi,26563000,,,400.0,,,,
Al Mutawa Marine Work L L .C,136878285,Po Box 46100,Abu Dhabi,25552800,,,400.0,,,,
Al Reem General Trading & Representation Of Companies Establishment,123108846,Po Box 3984,Abu Dhabi,26722356,,,400.0,,,,
Al Ghaith Oil-Field Supplies & Services Company Limited,123249959,Po Box 268,Abu Dhabi,25553422,,,400.0,,,,
Alba Tech Construction & Development Llc,122044383,Po Box 52134,Abu Dhabi,26266654,,,400.0,,,,
African & Eastern Company (Near East) L L C,121882649,Po Box 32520,Abu Dhabi,26771763,,39000000.0,400.0,,,,
Abu Dhabi Precast L L C,123262645,Po Box 38605,Abu Dhabi,25501033,,,400.0,,,,
Abu Dhabi National Indust Projects Co,111192682,PO Box 25905,Abu Dhabi,971-2-5500577,http://www.adnip.com/,223000000.0,400.0,,,,
Cape East LLC,42385825,14 Al Mussafah,Abu Dhabi,971-02 5555199,http://www.capeplc.com/cape/pages/contactus/regionalcontacts/regionalgulf,222000000.0,400.0,,,,
Al Ruwais Industrial Gases Company - L L C,42386059,Al Ruwais Industrial Gases Company Street 10 And 12; Mussafah In,Abu Dhabi,25553809,http://www.eigco.com,,400.0,,,,
Gulf Air,42385904,Po Box 573,Abu Dhabi,26323741,http://www.gulfairco.com,,400.0,,,,
Al Ghurair Iron & Steel - L L C,122895535,Po Box 106065,Abu Dhabi,26593400,http://www.agis.ae,,400.0,,,,
Asmak Seafood Processing Co. LLC,136809643,Delma Island Western region,Abu Dhabi,971-2-8782161,,,400.0,,,,
Enerflex Middle East Ltd. - Abu Dhabi,123278930,Po Box 48294,Abu Dhabi,24430015,,,400.0,,,,
Ghobash Trading and Investment,100971512,PO Box 47233,Abu Dhabi,971-02 6447111,http://www.ghobash.com,3470500000.0,400.0,,,,
Al Fahad Smart Systems,123227527,Po Box 59519,Abu Dhabi,25565800,,,400.0,,,,
National Technical Services Co. Llc,123278884,Po Box P O Box 32571,Abu Dhabi,,,,400.0,,,,
Gulf Diagnostic Centre Hospital - W L L,92461009,Po Box 30702,Abu Dhabi,26658090,http://www.gdc-hospital.com,,400.0,,,,
Bin Hamoodah Company L.L.C.,50095781,PO Box 203,Abu Dhabi,971-02 6276600,http://www.binhamoodah.ae,910599980.0,400.0,,,,
Booz & Company (M E) Ltd - Abu Dhabi,123278935,Po Box 43754,Abu Dhabi,26992400,,,400.0,,,,
Al Firas General Contracting,123278878,Po Box 4490,Abu Dhabi,26669600,,150000000.0,400.0,,,,
Gulf Ready Mix,123098467,Po Box 8556,Abu Dhabi,25511117,,,400.0,,,,
United Arab Bank - Abu Dhabi,123114576,Po Box 3562,Abu Dhabi,6275000,,,396.0,,,,
Abu Dhabi Sheraton Hotel,123114574,Po Box 640,Abu Dhabi,26773333,,96000000.0,390.0,,,,
Itm O&M Company Limited - Abu Dhabi,123249951,Po Box 46421,Abu Dhabi,25582700,,,386.0,,,,
Halliburton Worldwide Limited - Abu Dhabi,92511725,Po Box 57,Abu Dhabi,26942200,http://www.halliburton.com,,385.0,,,,
MERCURY INTERNATIONAL ELECTRO-MECHANICAL CONTRACTING LLC,122044450,Office 1204 Emirates National Investment Building Dalma Street,Abu Dhabi,971-2-4438300,,,385.0,,,,
Al Fahad Electrical Systems L.L.C.,122970704,Po Box 59519,Abu Dhabi,25565800,,,380.0,,,,
White Aluminium Enterprises - L L C,122873526,Po Box 30665,Abu Dhabi,25500830,,,370.0,,,,
Al Mansoori Specialized Engineering Company - Llc,135836350,Po Box 3374,Abu Dhabi,26776335,,,368.0,,,,
Thales Advanced Solutions - L L C,122895667,Po Box 5254,Abu Dhabi,6421133,,,360.0,,,,
Ruwais Fertiliser Industries FERTIL,42386058,PO Box 2288,Abu Dhabi,971-02 6021111,http://www.fertil.com,355200010.0,360.0,,,,
Al Fujairah Asia Power . Co- Psc-,122482850,Po Box 110865,Abu Dhabi,24918098,,,350.0,,,,
Australian Piling Technology Co. Llc,122044412,Al Najda Street,Abu Dhabi,6341127,,,350.0,,,,
Emke Store,122922253,Po Box 4048,Abu Dhabi,26732131,,,350.0,,,,
Al Gurg Building Services,123257601,Po Box 4938,Abu Dhabi,26721244,,,350.0,,,,
Abu Dhabi Refreshmets Company - L L C,123262661,Po Box 996,Abu Dhabi,24447234,,,350.0,,,,
Tecnimont S P A,121851696,Po Box 51120,Abu Dhabi,26450988,,,350.0,,,,
Electromechanical Company - L L C,46490064,Po Box 732,Abu Dhabi,26262800,,,350.0,,,,
Fibrex - Llc,122471366,Po Box 462,Abu Dhabi,25511462,,,350.0,,,,
Ed Zublin Ag,121851689,Po Box 28708,Abu Dhabi,26344039,,,350.0,,,,
Gulf Industrial Services Company,42385908,PO Box 46625,Abu Dhabi,971-2-4067888,http://www.gisco-uae.com/,45599998.0,350.0,,,,
Saipem Abu Dhabi,123249947,Po Box 47117,Abu Dhabi,26989898,,,350.0,,,,
Weir Engineering Services Company Llc,92683084,Po Box 4752,Abu Dhabi,25554108,http://www.wescouae.com,74000000.0,350.0,,,,
Le Meridien Hotel Abu Dhabi,42385986,Tourist Club Area,Abu Dhabi,971-02 6446666,http://www.lemeridien-abudhabi.com,779000000.0,350.0,,,,
Emke Store,122787017,Po Box 4048,Abu Dhabi,6421800,,,,,,,
Al Jaber Shipping Agency & Marine Works,123119070,Mussafah Next to Mina Mussafah,Abu Dhabi,971-25554300,http://www.ajshipping.com,,350.0,,,,
Mohammed Al Quebaisy  Enterprises L.L.C,122874203,Po Box 2333,Abu Dhabi,26423999,,,350.0,,,,
Tebodin Middle East Ltd.,42386094,PO Box 2652,Abu Dhabi,971-02 4066000,http://www.tebodin.com,62092999.0,350.0,,,,
Hyder Consulting Middle East Ltd.,42385748,Po Box 2774,Abu Dhabi,971-02 6333400,,100000.0,341.0,,,,
Honeywell Middle East Company Limited Abu Dhabi,123730650,Po Box 45595,Abu Dhabi,44505800,,,340.0,,,,
Emirates Cement Factory,42385755,"17th floor, Prestige Tower, Mohammed Bin Zayed City",Abu Dhabi,971-2-6666724,http://www.arkan.ae,352000000.0,340.0,,,,
Abu Dhabi Petroleum Ports Operating Company,42385743,,Abu Dhabi,971-26028000,http://www.irshad.ae,1205400000.0,338.0,,,,
UTS Carrier L.L.C.,42386115,PO Box 3977,Abu Dhabi,971-02 6724243,http://www.carrieruae.com,156000000.0,330.0,,,,
Al Mansouri Wireline Services Company - L L C,123249942,Po Box 3374,Abu Dhabi,25554134,,96129997.0,328.0,,,,
Foodco Holding PJSC,43871885,FOODCO Holding Building,Abu Dhabi,971-2-6731000,http://www.foodco-uae.com,151435590.0,326.0,,,,
Gulf Star Commodities,123229958,Po Box 27608,Abu Dhabi,226420700,,,325.0,,,,
Al Masaood Bergum W L L,123084619,Po Box 322,Abu Dhabi,26742100,,,320.0,,,,
Jamal Al Nuaimi General Contracting Llc,122044266,Po Box 42158,Abu Dhabi,224459949,,128000000.0,320.0,,,,
Adyard Abu Dhabi L.L.C.,42385967,PO Box 7604,Abu Dhabi,971-02 5547722,http://www.topazworld.com,,320.0,,,,
National Marine Services Co.,138909884,PO Box 7202,Abu Dhabi,971-02 6029500,,,320.0,,,,
Electra Abu Dhabi L.L.C.,51575146,PO Box 121,Abu Dhabi,971-02 6778077,http://www.electra.ae,37500000.0,312.0,,,,
Crowne Plaza Abudhabi,133363758,Po Box 3541,Abu Dhabi,22610000,,,310.0,,,,
C C C Under Water Eng.S.A.L Shj.Br.,122873889,Po Box 224,Abu Dhabi,25553656,,,310.0,,,,
Al Bawardi Group,42385806,PO Box 4118,Abu Dhabi,971-2 6815957,http://www.ae.ae,113600000.0,300.0,,,,
Dhafir Group of Cos.,42385853,PO Box 62192,Abu Dhabi,971-02 6774670,http://dhafirgroup.com,166500000.0,300.0,,,,
Al Hasoun Sejong Electromechanical Establishment,122881338,Po Box 34974,Abu Dhabi,25500301,,,300.0,,,,
Concorde Trading Company L.L.C.,42385835,PO Box 2617,Abu Dhabi,971-2 6668770,http://www.concordeuae.com,112000000.0,300.0,,,,
United Carrier Company - L L C,123227550,Po Box 3977,Abu Dhabi,26724243,,6290000.0,300.0,,,,
Technical Supplies & Services Company - L L C,122882405,Po Box 410,Abu Dhabi,26447912,,65000000.0,300.0,,,,
D G Jones and Partners Limited - Abu Dhabi,42385949,P.O. Box 631,Abu Dhabi,971-02 6725999,http://www.dgjonesworld.com,390299990.0,300.0,,,,
Crowne Plaza Abu Dhabi,42385925,"PO Box 3541, Sheikh Hamdan St.",Abu Dhabi,971-02 6210000,http://www.ichotelsgroup.com,664200010.0,300.0,,,,
Al Seer Marine Supplies & Equipment Company - L L C,123109588,Po Box 33639,Abu Dhabi,25511336,,,300.0,,,,
Hotel Inter-Continental Abu Dhabi,92461033,PO Box 4171,Abu Dhabi,971-2 6666888,http://www.ihg.com/intercontinental/hotels/gb/en/reservation,667799990.0,300.0,,,,
General Womens Union,122940734,Karama,Abu Dhabi,24475333,,,300.0,,,,
Euro Mechanical Instrument Services L L C,122873515,Po Box 4615,Abu Dhabi,26766412,,,,,,,
Falcon Aviation Services Llc,122895549,Po Box 62030,Abu Dhabi,24448866,http://www.falconaviation.ae,,300.0,,,,
Al Faris International Heavy Equipment Rental,123227556,Po Box 106003,Abu Dhabi,25554701,,,300.0,,,,
Al Ghazal Transport Co.,124754563,,Abu Dhabi,971-24447228,http://www.adsh.com,,300.0,,,,
Alas Emirates Ready Mix,122873882,Po Box 47679,Abu Dhabi,25828802,,,300.0,,,,
Grand Stores,42385901,,Abu Dhabi,971-26312100,http://www.grandstores.com,338399990.0,300.0,,,,
WESCO Abu Dhabi,42386119,Coriniche St Mussafah Industrial Area,Abu Dhabi,971-25554108,http://www.wescouae.com,108600000.0,300.0,,,,
Al Jaber Carpentry & Decor L.L.C,124718388,,Abu Dhabi,971-25547075,http://www.aljaber.com,,300.0,,,,
New York University In Abu Dhabi Corporation - Abu Dhabi,123278872,Po Box 129188,Abu Dhabi,26284000,,,300.0,,,,
Fathima Supermarket Wll,122376002,Po Box 4710,Abu Dhabi,24433490,,400000000.0,300.0,,,,
"Al Ahlia Oil-Fields Development Co., Owned By Al Ahlia Gen Trading Co Pvt Ltd.",123262659,Po Box 4033,Abu Dhabi,25553555,,,300.0,,,,
Cebarco - Wct - W L L - Abu Dhabi,123262654,Po Box 127717,Abu Dhabi,25013433,,,300.0,,,,
Serco-IAL Limited,121402656,Abu Dhabi Islamic Bank Building Najda Street,Abu Dhabi,971-26335547,,,300.0,,,,
Fabtech Abu Dhabi - L L C,123158207,Po Box 42287,Abu Dhabi,25500167,,,300.0,,,,
Al Otaiba Group of Establishments,42386037,PO Box 467,Abu Dhabi,971-02 4443333,,,300.0,,,,
Arabian Industrial Gas Company - L L C - Abu Dhabi,123262660,Po Box 30242,Abu Dhabi,26320620,,,300.0,,,,
Gulf & Safa Dairies Co. L.L.C - Abu Dabi,123257651,Po Box 2422,Abu Dhabi,25582441,,,300.0,,,,
Delight Cleaning Services Est,122374166,Po Box 71535,Abu Dhabi,6789216,http://www.delightcleaning.com,,300.0,,,,
Spaceage Electrical Switchgear Company Co Wll,123284567,Po Box 43693,Abu Dhabi,25500150,,,300.0,,,,
Matrix Construction,121881591,Po Box 46370,Abu Dhabi,26341575,,36262299.0,300.0,,,,
Corrpro Companies Middle East,123249934,Al Nasser Street,Abu Dhabi,26391100,,,300.0,,,,
Civil Power General Contracting - L.L.C,122044240,Po Box 3514,Abu Dhabi,26678812,http://www.cpcemirates.ae,,300.0,,,,
Galva Coat Galvanizing & Lighting Poles,121882593,Po Box 8485,Abu Dhabi,25511188,,,300.0,,,,
Sahari Trading And Importing Est,121881435,Po Box 687,Abu Dhabi,26445899,,60000000.0,300.0,,,,
Al Raha Gardens Property LLC,121396663,,Abu Dhabi,971-26964444,,,300.0,,,,
Professional Security Systems,122088644,First Zayed Road Khalidiya,Abu Dhabi,26350087,,,297.0,,,,
Arab Bank for Investment & Foreign Trade,42385773,PO Box 46733,Abu Dhabi,971-2-6721900,http://www.arbift.com,743338010.0,293.0,,,,
Khatib and Alami - Abu Dhabi,42385956,PO Box 2732,Abu Dhabi,971-02 6662885,http://www.khatibalami.com,103500000.0,292.0,,,,
"Rolf Jensen & Associates, International, Inc",121849424,Al Ghaith Holding Tower Airport Road,Abu Dhabi,24146663,,,280.0,,,,
Al Diar Gulf Hotel and Resort,138909898,PO Box 73837,Abu Dhabi,971-02 4414777,http://www.southtravels.com/middleeast/uae/abudhabi.html,598799990.0,269.0,,,,
Arab Bank PLC-Abu Dhabi,42385774,PO Box 875,Abu Dhabi,971-02 6392225,http://www.arabbank.ae,,267.0,,,,
Total Abu Al Bu Khoosh S.A.,42386102,11th Floor East Tower Abu Dhabi Mall Tourist Club Area,Abu Dhabi,971-2-6986666,http://www.tabka.ae,747400020.0,260.0,,,,
Hilton International Al Ain,42385924,PO Box 1333,Al Ain,971-03 7686666,http://www.hilton.com,578700010.0,260.0,,,,
Abu Dhabi National Insurance Co. PSC,42385735,PO Box 839,Abu Dhabi,971-2-6264000,http://www.adnic.ae,1588133100.0,257.0,,,,
Union Pipes Industry - L L C,123229957,Po Box 9650,Abu Dhabi,25500102,,697804690.0,250.0,,,,
Chateau Building Materials,120010787,P.O. Box 94684,Abu Dhabi,26423226,http://www.chateaubp.com,,250.0,,,,
Mubadala Development Company PJSC,98725639,PO Box 45005,Abu Dhabi,971-2-4130000,http://www.mubadala.com,32661227000.0,250.0,,,,
Al Jaber Protective Coating L.L.C.,124718393,,Abu Dhabi,971-25541050,http://www.aljaber.com,,250.0,,,,
Anticorrosion Protective Systems L.L.C.,42385770,PO Box 4705,Abu Dhabi,971-02 6722894,http://www.aps-corporate.com,159700000.0,250.0,,,,
National Gas Shipping Company Ltd. (NGSCO),42386015,Sheikh Khalifa Energy Complex,Abu Dhabi,971-26028600,http://www.adnatcongsco.com,,250.0,,,,
White Rose Tradind,122635893,Po Box 4330,Abu Dhabi,26342555,,35000000.0,250.0,,,,
Emirates Steel Industries,92500563,PO Box 9022,Abu Dhabi,971-02 5072144,http://www.esi-steel.com,572700010.0,250.0,,,,
Aldar Laing O'Rourke Plant Llc,120029920,Po Box 110800,Abu Dhabi,25566246,,55000000.0,247.0,,,,
Abu Dhabi Motors L.L.C.,92460754,PO Box 46468,Abu Dhabi,971-02 5588000,http://www.alhamid-group.com,461100010.0,243.0,,,,
United Alsaqer Group of Cos.,42385918,PO Box 46468,Abu Dhabi,971-02 6981111,http://www.alsaqergroup.com,188600010.0,243.0,,,,
Aloft Abu Dhabi Hotel,120000134,Po Box P.O.Box 5546,Abu Dhabi,26545000,http://www.aloftabudhabi.com,,235.0,,,,
Gulf Steel Industries Company Ltd.,100971498,PO Box 9054,Abu Dhabi,971-02 5510098,http://www.anieuae.com,241800000.0,230.0,,,,
Al Sultan Cement Factory (Adic),120012262,Po Box 8423,Abu Dhabi,25824110,http://www.alsultanfactory.com,,225.0,,,,
United Arab Bank PJSC - Abu Dhabi,42386107,PO Box 3562,Abu Dhabi,971-02 6275000,http://www.uab.ae,9996700200.0,223.0,,,,
Emirates Driving Company PJSC,92499770,"Street no. 17, Mussafah Industrial Area,",Abu Dhabi,971-2-5027100,http://www.edcad.ae/,199855190.0,221.0,,,,
Al Jaber Steel Products L.L.C.,124718386,,Abu Dhabi,971-25020705,,,220.0,,,,
International Fish Farming Holding Co,51347617,"Silver Wave Tower, Unit 404, Meena Road,",Abu Dhabi,971-2-6448090,http://www.asmak.biz,299087010.0,218.0,,,,
Novotel Centre Hotel,42386028,PO Box 47136,Abu Dhabi,971-02 6333555,http://www.novotel.com,438299990.0,206.0,,,,
British Embassy,92460871,Khalid Bin Al Waleed Road,Abu Dhabi,26344216,http://www.ukinuae.fco.gov.uk,,201.0,,,,
Embassy Of Islamic Republique Of Iran,92460855,P.O. Box 4080,Abu Dhabi,24447618,http://www.iranembassy.org.ae,,201.0,,,,
Embassy Of Eritrea,92460910,P.O. Box 2597,Abu Dhabi,26331838,,,201.0,,,,
Embassy Of Bahrain,92460907,P.O. Box 3367,Abu Dhabi,26657500,,,201.0,,,,
Embassy Of Sri Lanka,92460923,P.O. Box 46534,Abu Dhabi,26426666,http://www.srilankaembassyuae.com,,201.0,,,,
Embassy Of Belgium,92460849,P.O. Box 3686,Abu Dhabi,26319449,http://www.diplomatie.be,,201.0,,,,
Embassy Of Switzerland,92460924,P.O. Box 46116,Abu Dhabi,26274636,http://www.eda.admin.ch/uae,,201.0,,,,
Japan Embassy,92460857,Manaseer Al-Batenyia Street No. 26 From Al-Nahyan Street,Abu Dhabi,24435696,http://www.uae.emb-japan.go.jp,,201.0,,,,
Embassy Of Bosnia & Herzegovina,92507441,P.O. Box 43362,Abu Dhabi,26444164,http://www.bhmc.ae,,201.0,,,,
Embassy Of Spain,92460922,P.O. Box 46474,Abu Dhabi,26269544,http://www.maec.es,,201.0,,,,
Embassy Of Algeria,92460904,P.O. Box 3070,Abu Dhabi,24448949,http://www.mae.dz,,201.0,,,,
Embassy Of The State Of Qatar,92460870,P.O. Box 3503,Abu Dhabi,24493300,http://www.embassyconsulates.com,,201.0,,,,
Holiday Inn - Abu Dhabi,120029817,Po Box 48111,Abu Dhabi,4454777,http://www.holidayinn.com/abudhabi,,200.0,,,,
Abu Dhabi Oil Company Ltd.,42385740,PO Box 630,Dubai,971-2 6661100,http://www.cosmo-oil.co.jp,573599980.0,200.0,,,,
Nama Mott MacDonald LLC,121707182,Hamdaan Street No706 Algaith Twr,Abu Dhabi,971-26262966,,,200.0,,,,
Athena Emirates LLC,126344148,PO Box 54008,Abu Dhabi,971-2-679-7666,http://www.athena-sa.gr,,200.0,,,,
Taweelah Asia Power Company PSC,92461559,"Taweelah Power Complex,  32255",Abu Dhabi,971-2-5627000,http://www.tapco.ae/,,200.0,,,,
Al Jaber Fusion-Bonded Epoxy Coating Plant,124754272,,Abu Dhabi,971-25541050,,,200.0,,,,
C & J Gulf Pipe Coating Est.,139494448,,Abu Dhabi,971-2-5553-453,http://www.cjengg.com,,200.0,,,,
Al Hashem Marble Co.,44040249,PO Box 941,Abu Dhabi,971-02 5515700,http://www.ahmc.ae,395500000.0,200.0,,,,
Velosi Certification Services L.L.C,121399702,No 201 & 205 Block B Abu Dhabi Bus Hub ICAD-1,Abu Dhabi,971-25502600,,,200.0,,,,
Emircom,94184582,PO Box 34895,Abu Dhabi,971-02 6449088,http://www.emircom.com,84599998.0,200.0,,,,
Cebag Middle East L L C,92460764,Po Box 7125,Abu Dhabi,26730400,http://www.cebag.com,,200.0,,,,
Precision Drilling Services Me Wll,50092982,Po Box 2146,Abu Dhabi,26747333,http://www.meintranet.wetherford.com,,200.0,,,,
Abu Dhabi General Services - Musanada - P J S C,120011378,Po Box 3700,Abu Dhabi,24042222,http://www.musanada.co.ae,,200.0,,,,
Gulf Total Tractebel Power Company,98460545,Najda Street,Abu Dhabi,971-2-694-3333,http://www.adwea.ae,,200.0,,,,
Elenco General Trading Est,42385862,PO Box 103,Abu Dhabi,971-02 6778880,http://www.elenco.co.ae,57700001.0,200.0,,,,
Abu Dhabi Gas Liquefaction Limited,42385727,,Abu Dhabi,971-26061111,http://www.adgas.com,23993600000.0,200.0,,,,
Giffin Graphics Company - W L L,122469191,Po Box 955,Abu Dhabi,26730555,,325000000.0,200.0,,,,
Securities & Commodities Authority,120011147,,Abu Dhabi,971-26277888,http://www.sca.ae,,200.0,,,,
Abu Dhabi National Co. for Build. Mater.,42385733,P.O. Box 2443,Abu Dhabi,971-2-6455500,http://www.bildco.ae,25277000.0,199.0,,,,
NMC Trading Services,124754459,,Abu Dhabi,971-26734300,http://www.nmct.ae,,185.0,,,,
Genipo Company Ltd.,42385896,PO Box 4126,Abu Dhabi,971-02 6445286,,101100000.0,182.0,,,,
Gulf Paints and Adhesives Factory,44040250,"PO Box 15381, Industrial Area, Al Ain",Abu Dhabi,971-03 7212888,http://www.gulfpaints.com,135800000.0,180.0,,,,
"Mazroui Supplies, Contracts and Maintenance Est",42385984,PO Box 4265,Abu Dhabi,971-02 6723185,http://www.mscmest.com,100000000.0,180.0,,,,
